
================================================================================
TASK 3: MULTI-MISSION ROBUSTNESS — lambda=4, steps=3000
================================================================================

--- mission=M-self-documenting-stack ---
  Training: target=M-self-documenting-stack, lambda=4, steps=3000...
/home/joe/code/gflownet/.venv/lib/python3.12/site-packages/torch/_compile.py:32: UserWarning: optimizer contains a parameter group with duplicate parameters; in future, this will cause an error; see github.com/pytorch/pytorch/issues/40967 for more information
  return disable_fn(*args, **kwargs)
	Important: offline trajectories will NOT be sampled. In order to  sample offline trajectories, the train configuration of the buffer  should be provided.
	Important: test metrics will NOT be computed. In order to compute test metrics, the test configuration of the buffer should be provided.

  0%|          | 0/3000 [00:00<?, ?it/s]
Loss: 510.1074 | Mean rewards: 1053.63 | JSD: -1.0000:   2%|▏         | 64/3000 [00:31<30:40,  1.59it/s]
Loss: 509.7598 | Mean rewards: 672.99 | JSD: -1.0000:   2%|▏         | 64/3000 [00:31<30:40,  1.59it/s] 
Loss: 509.7598 | Mean rewards: 672.99 | JSD: -1.0000:   2%|▏         | 65/3000 [00:31<27:59,  1.75it/s]
Loss: 508.9515 | Mean rewards: 6322.31 | JSD: -1.0000:   2%|▏         | 65/3000 [00:31<27:59,  1.75it/s]
Loss: 508.9515 | Mean rewards: 6322.31 | JSD: -1.0000:   2%|▏         | 66/3000 [00:32<27:34,  1.77it/s]
Loss: 508.4123 | Mean rewards: 3821.45 | JSD: -1.0000:   2%|▏         | 66/3000 [00:32<27:34,  1.77it/s]
Loss: 508.4123 | Mean rewards: 3821.45 | JSD: -1.0000:   2%|▏         | 67/3000 [00:32<23:02,  2.12it/s]
Loss: 508.9201 | Mean rewards: 925.73 | JSD: -1.0000:   2%|▏         | 67/3000 [00:32<23:02,  2.12it/s] 
Loss: 508.9201 | Mean rewards: 925.73 | JSD: -1.0000:   2%|▏         | 68/3000 [00:32<21:18,  2.29it/s]
Loss: 508.5689 | Mean rewards: 1070.88 | JSD: -1.0000:   2%|▏         | 68/3000 [00:32<21:18,  2.29it/s]
Loss: 508.5689 | Mean rewards: 1070.88 | JSD: -1.0000:   2%|▏         | 69/3000 [00:33<25:11,  1.94it/s]
Loss: 507.9439 | Mean rewards: 1790.42 | JSD: -1.0000:   2%|▏         | 69/3000 [00:33<25:11,  1.94it/s]
Loss: 507.9439 | Mean rewards: 1790.42 | JSD: -1.0000:   2%|▏         | 70/3000 [00:34<27:14,  1.79it/s]
Loss: 507.2194 | Mean rewards: 1080.92 | JSD: -1.0000:   2%|▏         | 70/3000 [00:34<27:14,  1.79it/s]
Loss: 507.2194 | Mean rewards: 1080.92 | JSD: -1.0000:   2%|▏         | 71/3000 [00:34<26:27,  1.85it/s]
Loss: 506.6829 | Mean rewards: 1455.27 | JSD: -1.0000:   2%|▏         | 71/3000 [00:34<26:27,  1.85it/s]
Loss: 506.6829 | Mean rewards: 1455.27 | JSD: -1.0000:   2%|▏         | 72/3000 [00:35<27:07,  1.80it/s]
Loss: 506.3425 | Mean rewards: 1067.92 | JSD: -1.0000:   2%|▏         | 72/3000 [00:35<27:07,  1.80it/s]
Loss: 506.3425 | Mean rewards: 1067.92 | JSD: -1.0000:   2%|▏         | 73/3000 [00:35<23:12,  2.10it/s]
Loss: 506.0048 | Mean rewards: 401.11 | JSD: -1.0000:   2%|▏         | 73/3000 [00:35<23:12,  2.10it/s] 
Loss: 506.0048 | Mean rewards: 401.11 | JSD: -1.0000:   2%|▏         | 74/3000 [00:36<22:19,  2.18it/s]
Loss: 505.5720 | Mean rewards: 1089.24 | JSD: -1.0000:   2%|▏         | 74/3000 [00:36<22:19,  2.18it/s]
Loss: 505.5720 | Mean rewards: 1089.24 | JSD: -1.0000:   2%|▎         | 75/3000 [00:36<23:58,  2.03it/s]
Loss: 505.9087 | Mean rewards: 166.69 | JSD: -1.0000:   2%|▎         | 75/3000 [00:36<23:58,  2.03it/s] 
Loss: 505.9087 | Mean rewards: 166.69 | JSD: -1.0000:   3%|▎         | 76/3000 [00:37<22:20,  2.18it/s]
Loss: 505.3223 | Mean rewards: 1176.33 | JSD: -1.0000:   3%|▎         | 76/3000 [00:37<22:20,  2.18it/s]
Loss: 505.3223 | Mean rewards: 1176.33 | JSD: -1.0000:   3%|▎         | 77/3000 [00:37<21:20,  2.28it/s]
Loss: 504.9937 | Mean rewards: 767.63 | JSD: -1.0000:   3%|▎         | 77/3000 [00:37<21:20,  2.28it/s] 
Loss: 504.9937 | Mean rewards: 767.63 | JSD: -1.0000:   3%|▎         | 78/3000 [00:37<21:46,  2.24it/s]
Loss: 504.3510 | Mean rewards: 1204.47 | JSD: -1.0000:   3%|▎         | 78/3000 [00:37<21:46,  2.24it/s]
Loss: 504.3510 | Mean rewards: 1204.47 | JSD: -1.0000:   3%|▎         | 79/3000 [00:38<22:18,  2.18it/s]
Loss: 503.5177 | Mean rewards: 1872.42 | JSD: -1.0000:   3%|▎         | 79/3000 [00:38<22:18,  2.18it/s]
Loss: 503.5177 | Mean rewards: 1872.42 | JSD: -1.0000:   3%|▎         | 80/3000 [00:38<17:42,  2.75it/s]
Loss: 503.2730 | Mean rewards: 785.52 | JSD: -1.0000:   3%|▎         | 80/3000 [00:38<17:42,  2.75it/s] 
Loss: 503.2730 | Mean rewards: 785.52 | JSD: -1.0000:   3%|▎         | 81/3000 [00:38<18:13,  2.67it/s]
Loss: 502.8869 | Mean rewards: 1814.25 | JSD: -1.0000:   3%|▎         | 81/3000 [00:38<18:13,  2.67it/s]
Loss: 502.8869 | Mean rewards: 1814.25 | JSD: -1.0000:   3%|▎         | 82/3000 [00:39<26:18,  1.85it/s]
Loss: 502.7152 | Mean rewards: 1368.20 | JSD: -1.0000:   3%|▎         | 82/3000 [00:39<26:18,  1.85it/s]
Loss: 502.7152 | Mean rewards: 1368.20 | JSD: -1.0000:   3%|▎         | 83/3000 [00:40<25:19,  1.92it/s]
Loss: 502.2852 | Mean rewards: 1063.11 | JSD: -1.0000:   3%|▎         | 83/3000 [00:40<25:19,  1.92it/s]
Loss: 502.2852 | Mean rewards: 1063.11 | JSD: -1.0000:   3%|▎         | 84/3000 [00:40<22:44,  2.14it/s]
Loss: 501.8551 | Mean rewards: 697.10 | JSD: -1.0000:   3%|▎         | 84/3000 [00:40<22:44,  2.14it/s] 
